"","x"
"ENSG00000117519","CNN3"
"ENSG00000183508","TENT5C"
"ENSG00000159176","CSRP1"
"ENSG00000116016","EPAS1"
"ENSG00000164251","F2RL1"
"ENSG00000124766","SOX4"
"ENSG00000124762","CDKN1A"
"ENSG00000106366","SERPINE1"
"ENSG00000188153","COL4A5"
"ENSG00000122861","PLAU"
"ENSG00000148773","MKI67"
"ENSG00000139289","PHLDA1"
"ENSG00000125257","ABCC4"
"ENSG00000211448","DIO2"
"ENSG00000128917","DLL4"
"ENSG00000138623","SEMA7A"
"ENSG00000131747","TOP2A"
"ENSG00000167601","AXL"
"ENSG00000123416","TUBA1B"
"ENSG00000059804","SLC2A3"
"ENSG00000150938","CRIM1"
"ENSG00000198743","SLC5A3"
"ENSG00000136068","FLNB"
"ENSG00000074800","ENO1"
"ENSG00000181104","F2R"
"ENSG00000115963","RND3"
"ENSG00000104368","PLAT"
"ENSG00000157680","DGKI"
"ENSG00000074416","MGLL"
"ENSG00000104081","BMF"
"ENSG00000166073","GPR176"
"ENSG00000165434","PGM2L1"
"ENSG00000091527","CDV3"
"ENSG00000033867","SLC4A7"
"ENSG00000117724","CENPF"
"ENSG00000101825","MXRA5"
"ENSG00000198959","TGM2"
"ENSG00000164938","TP53INP1"
"ENSG00000073712","FERMT2"
"ENSG00000143799","PARP1"
"ENSG00000196549","MME"
"ENSG00000110002","VWA5A"
"ENSG00000088325","TPX2"
"ENSG00000133318","RTN3"
"ENSG00000154864","PIEZO2"
"ENSG00000197321","SVIL"
"ENSG00000182752","PAPPA"
"ENSG00000198901","PRC1"
"ENSG00000277443","MARCKS"
"ENSG00000168542","COL3A1"
"ENSG00000146072","TNFRSF21"
"ENSG00000145632","PLK2"
"ENSG00000140943","MBTPS1"
"ENSG00000102024","PLS3"
"ENSG00000135046","ANXA1"
"ENSG00000081923","ATP8B1"
"ENSG00000163346","PBXIP1"
"ENSG00000187678","SPRY4"
"ENSG00000163017","ACTG2"
"ENSG00000152894","PTPRK"
"ENSG00000143341","HMCN1"
